comment,Sentiment,processed,sentiment_fix
上班都累死了那哪还有时间精力结婚,1,上班都累死了那哪还有时间精力结婚,0
就是的，对大家都好！,2,就是的对大家都好,0
应该定法规跟女方的姓,0,应该定法规跟女方的姓,0
对啊，没必要,0,对啊没必要,0
卧槽？,0,卧槽,0
这句是真理，催生没那么难，您稍微掏点钱吧,0,这句是真理催生没那么难您稍微掏点钱吧,0
别念了师傅,2,别念了师傅,0
是我杀了我,0,是我杀了我,0
为什么一定是我吃苦,0,为什么一定是我吃苦,0
遥遥领先,2,遥遥领先,1
能生的多生点,0,能生的多生点,0
《素质提高》,2,素质提高,0
挺好,2,挺好,0.5
非常快乐，想干嘛就干嘛,0,非常快乐想干嘛就干嘛,0
网吧无限和朋友开黑连坐通宵，可太爽了,0,网吧无限和朋友开黑连坐通宵可太爽了,1
异常严峻，就，不公布了,0,异常严峻就不公布了,0.5
我广东的90后，就一个女儿，不打算生了,0,我广东的90后就一个女儿不打算生了,0
跟我有什么关系,0,跟我有什么关系,0
太快乐了,0,太快乐了,0
还是忒多，再少2/3就差不多了,0,还是忒多再少23就差不多了,0
90后表示不慌,0,90后表示不慌,0
别说重男轻女，广东地区还是保留很完整的传统礼制父系社会传承，都是传男不传女，宁愿失传。,2,别说重男轻女广东地区还是保留很完整的传统礼制父系社会传承都是传男不传女宁愿失传,1
你说的“但”前后的是两批人，不要搞混了,0,你说的但前后的是两批人不要搞混了,0
文明的未来是科技，人的肉体目前来说只是载体，等更加完美的载体出来，也就不需要用如此落后的方式繁衍了,0,文明的未来是科技人的肉体目前来说只是载体等更加完美的载体出来也就不需要用如此落后的方式繁衍了,1
相当的快乐,0,相当的快乐,0
好吧，我是13年结的,2,好吧我是13年结的,0
有三个孩子的家庭。购买500万元的房子时加十五平米,0,有三个孩子的家庭购买500万元的房子时加十五平米,0.5
两袖清风，怎敢耽误佳人,0,两袖清风怎敢耽误佳人,0
遥遥领先,2,遥遥领先,1
真好意思,2,真好意思,0
快乐，可太他妈快乐了,0,快乐可太他妈快乐了,0
保护,0,保护,0
点名表扬,2,点名表扬,1
我本人，现在工资只够养我自己,0,我本人现在工资只够养我自己,0
保护,0,保护,0
太好了,2,太好了,0
保护,0,保护,0
可能是教育真的普及了,0,可能是教育真的普及了,0.5
我证明 up说的对,2,我证明 up说的对,0
泰酷辣,2,泰酷辣,0
高攀不起，那就高配走起(|3[▓▓],2,高攀不起那就高配走起3,0
太多了，还是太多了,0,太多了还是太多了,0
与我何干,2,与我何干,0
余华,2,余华,0
保护,0,保护,0
本来就不应该那么早结婚,0,本来就不应该那么早结婚,0
保护,0,保护,0
我感觉慢慢要重女轻男,2,我感觉慢慢要重女轻男,0.5
好好好,0,好好好,0
保护,0,保护,0
也是我们的想法,2,也是我们的想法,0.5
哈哈哈哈,2,哈哈哈哈,0.5
快乐，相对快乐！,0,快乐相对快乐,0
好好好,0,好好好,0
哈哈哈，只能说对,2,哈哈哈只能说对,0
好，继续！,2,好继续,0
漂亮,2,漂亮,0.5
因为他们在看着,2,因为他们在看着,0
玛莎拉蒂一元优惠券,2,玛莎拉蒂一元优惠券,0
真的快乐真的快乐真的快乐,0,真的快乐真的快乐真的快乐,0
但是很轻松,2,但是很轻松,0.5
爱情观，结婚为了什么？,0,爱情观结婚为了什么,1
没得选,0,没得选,0
男性现在根本找不到对象,0,男性现在根本找不到对象,0
不用花金钱和精力去经营一段感情，就算过得一般，那也是快乐的,0,不用花金钱和精力去经营一段感情就算过得一般那也是快乐的,0
居然还有人想不通,0,居然还有人想不通,0
不要结婚就是,0,不要结婚就是,0
真话，来点实际的,0,真话来点实际的,0
没有未来谈何人口,0,没有未来谈何人口,0.5
求生欲很强,2,求生欲很强,1
保护,0,保护,0
结婚这方面真的不指望,0,结婚这方面真的不指望,0
我不生有的是人生,0,我不生有的是人生,0.5
确实,0,确实,0
东北这面表示，生儿子遭罪，生女儿轻松,2,东北这面表示生儿子遭罪生女儿轻松,1
逆天,2,逆天,0
记录在案,2,记录在案,0
遥遥领先,2,遥遥领先,1
那是相当快乐，我一个人可以去livehouse，音乐节，去露营，想买买想吃吃！爽飞,0,那是相当快乐我一个人可以去livehouse音乐节去露营想买买想吃吃爽飞,0
那是相当快乐啊,0,那是相当快乐啊,0
女儿多可爱啊,2,女儿多可爱啊,1
6点钟 我去过菜市场，很多菜摊上没摆上菜呢，更没什么人买菜,0,6点钟 我去过菜市场很多菜摊上没摆上菜呢更没什么人买菜,0
遥遥领先！！,2,遥遥领先,1
确实，现在生孩子的要么家大业大要么技校里面的混子,0,确实现在生孩子的要么家大业大要么技校里面的混子,0.5
真的快乐,0,真的快乐,0
那是相当快乐了,0,那是相当快乐了,0
经典基数大,2,经典基数大,0.5
相当快乐,0,相当快乐,0
单身男基本不急还很快乐，单身女就难说了,0,单身男基本不急还很快乐单身女就难说了,0
怎么还有这么多哦,0,怎么还有这么多哦,0
主要是懒。,0,主要是懒,0
快乐的雅痞，想干嘛干嘛。,0,快乐的雅痞想干嘛干嘛,0
遥遥领先,2,遥遥领先,1
上大街上，一百个人里面最起码有10个不真实，骗人，,0,上大街上一百个人里面最起码有10个不真实骗人,0
潮汕人表示说的对,2,潮汕人表示说的对,0
必须快乐,0,必须快乐,0
王者荣耀：“逐渐开始听不懂了。”,2,王者荣耀逐渐开始听不懂了,0.5
钱,0,钱,0
好好好,0,好好好,0
人类之所以能够进步就是因为总有打破规则的人存在,0,人类之所以能够进步就是因为总有打破规则的人存在,1
还有这么多？,0,还有这么多,0
保护,0,保护,0
好啊好啊,2,好啊好啊,0.5
继续加油,2,继续加油,1
遥遥领先,2,遥遥领先,1
我们这些灰头土脸在现实中为未来的人建设天堂,2,我们这些灰头土脸在现实中为未来的人建设天堂,1
偶尔悲伤大部分时间快乐,0,偶尔悲伤大部分时间快乐,0
我襄阳的,2,我襄阳的,0
保护,0,保护,0
只有东西才叫品质,0,只有东西才叫品质,0
中！,2,中,0.5
在东北生男生女都一样 有很多人还想要女孩呢,2,在东北生男生女都一样 有很多人还想要女孩呢,1
不着急  慢慢来,2,不着急  慢慢来,0.5
四川表示真的没区别,0,四川表示真的没区别,0
家里有人惯着,2,家里有人惯着,0
遥遥领先,2,遥遥领先,1
超级快乐,0,超级快乐,0
保护,0,保护,0
保护,0,保护,0
你不生有的是人生,0,你不生有的是人生,0.5
我80后，依然坚持着,2,我80后依然坚持着,0
自己养不活了,0,自己养不活了,0
没钱还生男孩，是自己作死。,0,没钱还生男孩是自己作死,0
也是大多数真正明白人的看法,1,也是大多数真正明白人的看法,0
还是太多了，应该更少人结婚的,0,还是太多了应该更少人结婚的,0
没有父母和亲戚的“关心”就很快乐,0,没有父母和亲戚的关心就很快乐,0
还是我,2,还是我,0
是我是我,2,是我是我,0
能活着就已经了不起了！真的个人感悟！,2,能活着就已经了不起了真的个人感悟,1
还用解读？，这不是明摆着呢，笑了,0,还用解读这不是明摆着呢笑了,0.5
还有这种好事,2,还有这种好事,0
主要是没钱 自己活着都够费劲,0,主要是没钱 自己活着都够费劲,0
我就是这样想的,2,我就是这样想的,0
别人的痛苦又不是我造成的,0,别人的痛苦又不是我造成的,0
保护好up主,0,保护好up主,0.5
还有这么多,2,还有这么多,0
他们真能理解普通人吗？,0,他们真能理解普通人吗,1
保护,0,保护,0
太真实了,0,太真实了,0
可以进军养老产业了,2,可以进军养老产业了,0.5
快乐死，反正是你想象不到的快乐,0,快乐死反正是你想象不到的快乐,0
没谈过,0,没谈过,0
保护,0,保护,0
广东福建的男女比多大呀？,0,广东福建的男女比多大呀,0.5
夹带私货,2,夹带私货,0.5
遥遥领先,2,遥遥领先,1
你活的痛苦的根源在于中国人太多,0,你活的痛苦的根源在于中国人太多,1
那可真是太快乐了,0,那可真是太快乐了,0
我这辈子都不幸福我怎么带给孩子幸福,0,我这辈子都不幸福我怎么带给孩子幸福,1
太快乐了，有时候有点孤独,0,太快乐了有时候有点孤独,0
还是太多了,0,还是太多了,0
不好意思 88年的我还是单身,1,不好意思 88年的我还是单身,0
保护,0,保护,0
玄学救己,0,玄学救己,0.5
每一代人都是这样的，都有一些新的观点，不光是现在的90后00后,2,每一代人都是这样的都有一些新的观点不光是现在的90后00后,0.5
巨巨巨巨快乐！踏踏实实当我的妈宝女，我永远爱妈妈,0,巨巨巨巨快乐踏踏实实当我的妈宝女我永远爱妈妈,0
是的,2,是的,0
快乐得飞起,0,快乐得飞起,0
00后表示天生反骨,2,00后表示天生反骨,0.5
天天焦虑的凌晨早就醒了 ,0,天天焦虑的凌晨早就醒了 ,0
人太多都是竞争生活太不稳定了,0,人太多都是竞争生活太不稳定了,0
增加4岁，刚好是读研的三四年,2,增加4岁刚好是读研的三四年,1
是的,2,是的,0
存在滥用的情况,0,存在滥用的情况,0
保护,0,保护,0
保护,0,保护,0
那也不生，从我做起,0,那也不生从我做起,0.5
未来好与坏跟我又有什么关系呢？,0,未来好与坏跟我又有什么关系呢,0.5
有孩子没耐心会烦死,0,有孩子没耐心会烦死,0
我特么要个女儿就是没有怎么办，老婆生小孩前就取了个女孩名字，结果是个男孩，办出生证明的时候才把小孩名字定下来,0,我特么要个女儿就是没有怎么办老婆生小孩前就取了个女孩名字结果是个男孩办出生证明的时候才把小孩名字定下来,1
巧了同感,2,巧了同感,1
讲真的对地球母亲来说是好事,2,讲真的对地球母亲来说是好事,1
保护,0,保护,0
我甚至不愿意结婚,0,我甚至不愿意结婚,0
快乐,0,快乐,0
三连，三连，分享给朋友看,2,三连三连分享给朋友看,0.5
一场征服世界的战争足以解决一切,2,一场征服世界的战争足以解决一切,1
我们这都想要女的,2,我们这都想要女的,0
我是广东人，up说的是真的,2,我是广东人up说的是真的,0
养自己都够呛了还养小孩吗,0,养自己都够呛了还养小孩吗,0
你这段说的净扯淡,0,你这段说的净扯淡,0
保护,0,保护,0
以后有钱很痛苦。没钱不痛。,0,以后有钱很痛苦没钱不痛,0
不要太快乐哦，是游戏不好玩了？,0,不要太快乐哦是游戏不好玩了,0
你不干，有的是人干!,0,你不干有的是人干,0
遥遥领先！！！,2,遥遥领先,1
遥遥领先,2,遥遥领先,1
幽默,2,幽默,0
希望5年后，说的还能硬气,2,希望5年后说的还能硬气,0
太好了太好了，问题解决不了就该这样,2,太好了太好了问题解决不了就该这样,0
真的快乐,0,真的快乐,0
大好事，有可能会越来越少，呱唧呱唧,2,大好事有可能会越来越少呱唧呱唧,0
我喜欢女孩,2,我喜欢女孩,0.5
难不是吗。,0,难不是吗,0
不快乐,0,不快乐,0
应该说是更卷了才对～父母辈的年龄大了，又没现在老一辈的有国家退休待遇，不得吃孩子的吃谁的？,0,应该说是更卷了才对父母辈的年龄大了又没现在老一辈的有国家退休待遇不得吃孩子的吃谁的,1
快乐！作为80后还单着！相当快乐！,0,快乐作为80后还单着相当快乐,0
快乐啊,0,快乐啊,0
本广东人表示是的，但90后的我不结不生,0,本广东人表示是的但90后的我不结不生,0
自私，自以为是的想法,0,自私自以为是的想法,0.5
我就想养女儿，或者不要孩子,0,我就想养女儿或者不要孩子,0.5
保护,0,保护,0
说我干嘛,0,说我干嘛,0
保护,0,保护,0
非要在大城市混当然累，小城市结婚养家糊口生孩子一点问题没有,0,非要在大城市混当然累小城市结婚养家糊口生孩子一点问题没有,0.5
觉醒年代,2,觉醒年代,0
？？？,0,无内容,0
保护,0,保护,0
关键没实惠啊,0,关键没实惠啊,0.5
非常快乐哈哈哈哈哈哈,0,非常快乐哈哈哈哈哈哈,0
这段说的在理～养一个和养一家是有很大区别的～,2,这段说的在理养一个和养一家是有很大区别的,0
保护,0,保护,0
说不结婚的，大部分都偷着结婚了,0,说不结婚的大部分都偷着结婚了,0
遥遥领先,2,遥遥领先,1
快乐！自由！,0,快乐自由,0
素质提高？逗人的吧～一20多岁的女子购物结账时丢卡在工作人员身上，那也叫素质提高？,0,素质提高逗人的吧一20多岁的女子购物结账时丢卡在工作人员身上那也叫素质提高,0
我不生有的是人生,0,我不生有的是人生,0.5
好，就让你们找不到人干,2,好就让你们找不到人干,0
好好好,0,好好好,0
能结婚生子有个家庭挺好的，但环境不允许那就活的快乐点,0,能结婚生子有个家庭挺好的但环境不允许那就活的快乐点,0
太好了,2,太好了,0
黄赌毒婚孩，千万不要碰,0,黄赌毒婚孩千万不要碰,0
没事，专家多生点,2,没事专家多生点,0
梅花本来就是香的，并不是因为苦寒,2,梅花本来就是香的并不是因为苦寒,0
80后也不会想生太多～一个就决定一切～,0,80后也不会想生太多一个就决定一切,0
遥遥领先,2,遥遥领先,1
太棒了,2,太棒了,1
我哭了,2,我哭了,0.5
这么多啊,0,这么多啊,0
保护,0,保护,0
广东人表示确实如此，2023了依旧封建,0,广东人表示确实如此2023了依旧封建,0.5
挺多的嘛,2,挺多的嘛,0.5
快乐吗？当然快乐，没有那么多让人发愁的问题，遗憾吗？多少有点，毕竟谁不想要一个爱你的人呢,0,快乐吗当然快乐没有那么多让人发愁的问题遗憾吗多少有点毕竟谁不想要一个爱你的人呢,0
遥遥领先,2,遥遥领先,1
还是太多，继续加油,2,还是太多继续加油,0.5
非常快乐,0,非常快乐,0
这真的是好事,2,这真的是好事,0
我看你妈,0,我看你妈,0
辽宁，生女儿的开心够呛，生儿子的愁眉苦脸,2,辽宁生女儿的开心够呛生儿子的愁眉苦脸,0.5
这是以后几十年来最高的了,2,这是以后几十年来最高的了,0
还是太多了,0,还是太多了,0
好有道理呀！茅塞顿开,2,好有道理呀茅塞顿开,0
决战香火之巅哈哈哈哈哈哈哈,2,决战香火之巅哈哈哈哈哈哈哈,1
管好你自己,0,管好你自己,0
好好好,0,好好好,0
发到网络平台上，就不是个人言论了,0,发到网络平台上就不是个人言论了,0
怎么打拳了？是现实中这种情况少吗？她只是站在自己女性的角度说问题，又不是否认了男性的责任,0,怎么打拳了是现实中这种情况少吗她只是站在自己女性的角度说问题又不是否认了男性的责任,0.5
并没有在打半拳只是陈述事实,0,并没有在打半拳只是陈述事实,0
软肋,0,软肋,0
我93岁了，单着挺好,2,我93岁了单着挺好,0.5
照样卷,2,照样卷,0
快乐得很啊,0,快乐得很啊,0
保护,0,保护,0
不是不想生女儿，是没那福气啊……我家宝宝那几天产房里面，推出来的基本都是男宝宝！！！邪乎啊……,0,不是不想生女儿是没那福气啊我家宝宝那几天产房里面推出来的基本都是男宝宝邪乎啊,0
35，单，快乐,0,35单快乐,0
太多了,0,太多了,0
别什么都是打拳，事实情况就是这样的还少吗，当然男性也是同理，各自都有压力,0,别什么都是打拳事实情况就是这样的还少吗当然男性也是同理各自都有压力,0.5
關我什麼事,0,關我什麼事,0.5
我说我快要死了，他们说你看那谁谁谁死的更早。这不妥妥傻13吗,0,我说我快要死了他们说你看那谁谁谁死的更早这不妥妥傻13吗,0
我想快点老死,0,我想快点老死,0
我东北的，喜欢姑娘,2,我东北的喜欢姑娘,1
当环境不适宜生存 物种会停止繁衍并迁徙,0,当环境不适宜生存 物种会停止繁衍并迁徙,1
确实，唉,0,确实唉,0
我85也没结婚生娃呢，没兴趣,0,我85也没结婚生娃呢没兴趣,0
胡辣汤真好喝,2,胡辣汤真好喝,0
遥遥领先,2,遥遥领先,1
孩子就是质子，被社会要挟着父母,0,孩子就是质子被社会要挟着父母,1
快乐到芜湖飞起,0,快乐到芜湖飞起,0
快乐,0,快乐,0
保护,0,保护,0
非常快乐,0,非常快乐,0
是的,2,是的,0
保护,0,保护,0
快乐,0,快乐,0
穷,0,穷,0
卷就是最大的原因,2,卷就是最大的原因,0
清醒，快乐的,0,清醒快乐的,0
遥遥领先,2,遥遥领先,1
他们不可能急的，他们才无所谓,0,他们不可能急的他们才无所谓,0
就怕孩子也像我一样家庭条件不好产生自卑感，我自己都怕,0,就怕孩子也像我一样家庭条件不好产生自卑感我自己都怕,1
25号宇宙,2,25号宇宙,0.5
房价下跌才刚刚开始,0,房价下跌才刚刚开始,0
建议凌晨买菜的去加沙看看,2,建议凌晨买菜的去加沙看看,0
好！,2,好,0
主要是现在人大部分都是连自己都养不起，怎么有能力去生孩子，更何况还三胎。,0,主要是现在人大部分都是连自己都养不起怎么有能力去生孩子更何况还三胎,0.5
该得的,1,该得的,0
快乐？爽翻了！,0,快乐爽翻了,0
根本买不起,0,根本买不起,0
是的,2,是的,0
游戏体验极差，不建议新人入坑,0,游戏体验极差不建议新人入坑,0
笑的想哭,2,笑的想哭,0.5
说的没错啊，本身就累，还凌晨四点出去，疯了？,0,说的没错啊本身就累还凌晨四点出去疯了,0
没钱,0,没钱,0
那可太快乐了,0,那可太快乐了,0
女孩多可爱，嘿嘿,2,女孩多可爱嘿嘿,1
太快乐了！！！,0,太快乐了,0
赞赞赞,2,赞赞赞,1
快乐,0,快乐,0
好好好,0,好好好,0
人还是多 别急呢,2,人还是多 别急呢,0
太对了,2,太对了,0
挺好,2,挺好,0.5
赞,2,赞,1
缓存了,0,缓存了,0
我都未必能活到四十岁你和我讲生孩子？,0,我都未必能活到四十岁你和我讲生孩子,1
保护,0,保护,0
结婚之前。我一年换个手机。结婚之后就没换过手机,0,结婚之前我一年换个手机结婚之后就没换过手机,0
很简单呀，你问他们结了婚快乐吗？,0,很简单呀你问他们结了婚快乐吗,0
经济,2,经济,0
没钱，也害怕人品不好,0,没钱也害怕人品不好,0
救命啊，生男孩子真的没用,0,救命啊生男孩子真的没用,1
结个婚1百多万。,0,结个婚1百多万,0
遥遥领先,2,遥遥领先,1
与收入不成比例的房价,0,与收入不成比例的房价,0.5
太好了,2,太好了,0
什么后遗症？明明是以后的就业率上升了(同一时期工作单位量不变)！！！！,0,什么后遗症明明是以后的就业率上升了同一时期工作单位量不变,0
还是没钱,0,还是没钱,0
还真是,0,还真是,0
我纯粹是因为被娃弄的恐惧，真的好难带,0,我纯粹是因为被娃弄的恐惧真的好难带,0.5
事实啊,0,事实啊,0
人太多了,2,人太多了,0
儿孙自有儿孙福，不生儿孙我享福,2,儿孙自有儿孙福不生儿孙我享福,0.5
富人和穷人时间的芥蒂,2,富人和穷人时间的芥蒂,0.5
总结的很到位,2,总结的很到位,0.5
彩票别信那玩意,0,彩票别信那玩意,0
遥遥领先,2,遥遥领先,1
30早就不是门槛，过来人告诉你并不会突然想成家的,0,30早就不是门槛过来人告诉你并不会突然想成家的,0
太多了,0,太多了,0
我是自由的，谁敢管我,0,我是自由的谁敢管我,0.5
相当快乐，可以把家长的话当作耳边风了,0,相当快乐可以把家长的话当作耳边风了,0
哈哈哈哈,2,哈哈哈哈,0.5
没字幕了,0,没字幕了,0
保护,0,保护,0
保护,0,保护,0
保护,0,保护,0
鸡娃,1,鸡娃,0
保护,0,保护,0
great,2,great,0
还有江西,2,还有江西,0
快乐,0,快乐,0
是家庭,1,是家庭,0.5
是游戏不好玩，还是小说不好看，还是一个人想吃什么就吃什么，想买什么就买什么不快乐吗,0,是游戏不好玩还是小说不好看还是一个人想吃什么就吃什么想买什么就买什么不快乐吗,0
雀食，我海南女生，家里一直想要男孩,2,雀食我海南女生家里一直想要男孩,1
那是相当快乐啊，那可太快乐了,0,那是相当快乐啊那可太快乐了,0
好消息,2,好消息,0
经常听保洁阿姨抱怨儿媳不做饭，我想问她儿子呢,0,经常听保洁阿姨抱怨儿媳不做饭我想问她儿子呢,0
别夹带私货了，说白了就是没钱,0,别夹带私货了说白了就是没钱,0.5
要顺应历史发展的潮流,2,要顺应历史发展的潮流,1
18岁的人算进去当然大了，可你不想想大多数18岁的人无疑是学生,0,18岁的人算进去当然大了可你不想想大多数18岁的人无疑是学生,0.5
到那个时候担心也没用,0,到那个时候担心也没用,0
快乐鸭,0,快乐鸭,0
药店上班路过，正式工一个月不到2000块，租400块的房，天天吃面条，毕业两年瘦了20斤,2,药店上班路过正式工一个月不到2000块租400块的房天天吃面条毕业两年瘦了20斤,0
遥遥领先,2,遥遥领先,1
其一男生体力更强，其二日常生活中男孩是可以当苦力用的女孩可不行哈哈,2,其一男生体力更强其二日常生活中男孩是可以当苦力用的女孩可不行哈哈,1
快乐,0,快乐,0
说你妹，管别人锤子事,0,说你妹管别人锤子事,0
自信 要自信,2,自信 要自信,1
哈哈哈哈,2,哈哈哈哈,0.5
先快乐再说，以后愁以后说,0,先快乐再说以后愁以后说,0
对社会没有期待，就会停滞，只要顾好自己就可以了,0,对社会没有期待就会停滞只要顾好自己就可以了,1
爽的一批,0,爽的一批,0.5
tui,2,tui,0
只会导致工作岗位和收入进一步减少，，以为是什么好事就有些幽默了,0,只会导致工作岗位和收入进一步减少以为是什么好事就有些幽默了,1
不快乐吗？,0,不快乐吗,0
未来关我吊事,2,未来关我吊事,0
给我降了存量房贷，这点赞,2,给我降了存量房贷这点赞,0
难道不是吗,0,难道不是吗,0
在川渝地区可能就不一样了。,0,在川渝地区可能就不一样了,0
86的还没生的除了我还有吗,0,86的还没生的除了我还有吗,0
好,2,好,0
？？？扛起？,0,扛起,0
遥遥领先,2,遥遥领先,1
九年义务教育真的很伟大,2,九年义务教育真的很伟大,0.5
不需要结婚生育,2,不需要结婚生育,0
还不够,0,还不够,0
规则就是用来打破的,0,规则就是用来打破的,0.5
主要是，现在的人结婚不是找最爱的人的，是互相攀比的～,2,主要是现在的人结婚不是找最爱的人的是互相攀比的,0.5
有种东西叫月跑！一样快乐,0,有种东西叫月跑一样快乐,0
不用谢,2,不用谢,0
我现在快乐几十年，我觉得我老了遭点报应是因该的,0,我现在快乐几十年我觉得我老了遭点报应是因该的,0
遥遥领先,2,遥遥领先,1
还真是,0,还真是,0
确实,0,确实,0
因为男女比例失调导致的吧。,0,因为男女比例失调导致的吧,0
知足吧,2,知足吧,0.5
我媳妇还隐藏负债，欠92万，她父母身体还不好，还得看病吃药,0,我媳妇还隐藏负债欠92万她父母身体还不好还得看病吃药,1
还有你为什么要去大城市？,0,还有你为什么要去大城市,0
不要拿养孩子贵来当借口了，除非你选择精英教育。否则也贵不到哪儿去。,0,不要拿养孩子贵来当借口了除非你选择精英教育否则也贵不到哪儿去,1
发达国家人都少，要想发达这就是必经之路,2,发达国家人都少要想发达这就是必经之路,0.5
不快乐，但是我没办法，自己活的这么累了，还谈什么结婚生子,0,不快乐但是我没办法自己活的这么累了还谈什么结婚生子,0
我主要是怕疼,2,我主要是怕疼,0
我快不快乐关你吊事？,0,我快不快乐关你吊事,0
小孩变少挺好的 熊孩子烦人,0,小孩变少挺好的 熊孩子烦人,0.5
好家伙 突然提到了自己的家乡,0,好家伙 突然提到了自己的家乡,1
我媳妇负债92万，隐瞒债务和我结婚,0,我媳妇负债92万隐瞒债务和我结婚,0
教育,2,教育,0.5
真的快乐,0,真的快乐,0
结婚以后活的很痛苦，逐渐失去自我,0,结婚以后活的很痛苦逐渐失去自我,1
保护,0,保护,0
五年加五岁，那没结婚的还是那些人啊,2,五年加五岁那没结婚的还是那些人啊,0
不要开地图炮好吧，我就喜欢女儿,2,不要开地图炮好吧我就喜欢女儿,0
快乐的，不为别人发愁,0,快乐的不为别人发愁,0
投币了,0,投币了,0
不想有个软肋,0,不想有个软肋,0
是我,2,是我,0
保护,0,保护,0
那是相当快乐,0,那是相当快乐,0
也是我个人的看法,2,也是我个人的看法,0
保护,0,保护,0
快乐的很嘞,0,快乐的很嘞,0
父母,2,父母,0.5
保护,0,保护,0
保护,0,保护,0
保护,0,保护,0
保护保护,0,保护保护,0
就中国这个见鬼的男女比例 女权多激烈都是应该的,0,就中国这个见鬼的男女比例 女权多激烈都是应该的,0
普通年轻人要么回家，要么到大城市郊区,0,普通年轻人要么回家要么到大城市郊区,1
32岁负债10万，打工十几年的积蓄创业两次就清空！,0,32岁负债10万打工十几年的积蓄创业两次就清空,1
還是很多,2,還是很多,0
哪里有钱来享受这些,2,哪里有钱来享受这些,0
过于真实,0,过于真实,0
人间清醒,2,人间清醒,1
遥遥领先,2,遥遥领先,1
还是太多了,0,还是太多了,0
遥遥领先,2,遥遥领先,1
好,2,好,0
确实啊，给钱就行,0,确实啊给钱就行,0
没有爱情,0,没有爱情,0.5
怎么这么多,0,怎么这么多,0
就是少数人沾到了便宜，大多数人没有，发现天道不酬勤，那还玩尼玛,0,就是少数人沾到了便宜大多数人没有发现天道不酬勤那还玩尼玛,0.5
巨快乐,0,巨快乐,0
点了,0,点了,0
就快乐，一个人吃饱，全家不饿，每天下班就是玩,0,就快乐一个人吃饱全家不饿每天下班就是玩,0
很快乐,0,很快乐,0
阳刚,2,阳刚,0
这些关我鸟事,0,这些关我鸟事,0
还是太年轻了,0,还是太年轻了,0.5
漂亮,2,漂亮,0.5
不低吧 谁想生谁生呗,0,不低吧 谁想生谁生呗,0
也可能是因为第一个是男孩就不敢继续生了，但是第一个是女孩就敢再要一个,0,也可能是因为第一个是男孩就不敢继续生了但是第一个是女孩就敢再要一个,0.5
有钱人还是多啊,0,有钱人还是多啊,0
也代表我,2,也代表我,0
快乐啊,0,快乐啊,0
确实,0,确实,0
快乐到极致！,0,快乐到极致,0
事实难道不是吗（,0,事实难道不是吗,0
没有现在，哪有未来？,0,没有现在哪有未来,0
理智，不生，也是一种善良,0,理智不生也是一种善良,1
清醒糊涂暂且不论，是真的快乐,0,清醒糊涂暂且不论是真的快乐,0
觉醒了,0,觉醒了,0
快乐,0,快乐,0
不是不生 是调生 这辈子不生 一辈子生三个,0,不是不生 是调生 这辈子不生 一辈子生三个,0
我一毛钱都不信任，一毛钱都不认同,0,我一毛钱都不信任一毛钱都不认同,0
我的评价是欢迎来四川,2,我的评价是欢迎来四川,0
我近视，不能生,0,我近视不能生,0.5
快乐,0,快乐,0
太棒了！！,2,太棒了,1
遥遥领先,2,遥遥领先,1
保护,0,保护,0
觉醒年代,2,觉醒年代,0
哈哈哈哈哈哈哈,2,哈哈哈哈哈哈哈,1
节假日调休,2,节假日调休,0.5
保护,0,保护,0
这三连必须给了,0,这三连必须给了,0
放心啦还会更低的这才哪到哪儿,2,放心啦还会更低的这才哪到哪儿,0
很快乐,0,很快乐,0
投两个币 没啥说的,2,投两个币 没啥说的,0
你还能代表多少人的看法？？？笑死我了,0,你还能代表多少人的看法笑死我了,0.5
有钱你就多生点,0,有钱你就多生点,0
是真的相当快乐！！！,0,是真的相当快乐,0
当然快乐，因为他们的欲望非常低,0,当然快乐因为他们的欲望非常低,0
不一定快乐，但一定比结婚生娃更快乐,0,不一定快乐但一定比结婚生娃更快乐,0
没有后代了，管屁的未来，那是你们要担心的事，哈哈,0,没有后代了管屁的未来那是你们要担心的事哈哈,0.5
太快乐了,0,太快乐了,0
太好了,2,太好了,0
诶嘿嘿嘿是我的条件,2,诶嘿嘿嘿是我的条件,0
诶嘿嘿嘿是我的条件,2,诶嘿嘿嘿是我的条件,0
好,2,好,0
！！！保护,0,保护,0
遥遥领先,2,遥遥领先,1
6,2,6,0
让他们父母的这一辈就更苦了，要更加努力为他们挣钱了。,0,让他们父母的这一辈就更苦了要更加努力为他们挣钱了,0.5
太好了,2,太好了,0
遥遥领先,2,遥遥领先,1
真的超级特别相当快乐,0,真的超级特别相当快乐,0
人间清醒,2,人间清醒,1
谁告诉我下一个一定是女孩 我就生二胎 ,0,谁告诉我下一个一定是女孩 我就生二胎 ,0
是真的快乐啊,0,是真的快乐啊,0
软肋,0,软肋,0
还是不快乐  快乐永远掌握在有钱人手里,0,还是不快乐  快乐永远掌握在有钱人手里,0
太快乐了,0,太快乐了,0
6,2,6,0
我觉得我是真的很快乐,0,我觉得我是真的很快乐,0
这是绝对的事实,2,这是绝对的事实,0
29刚博士毕业，不读博没工作，你说呢？,0,29刚博士毕业不读博没工作你说呢,0.5
快乐的一笔,0,快乐的一笔,0
说明教育普及到位了，开始逻辑思考问题了,2,说明教育普及到位了开始逻辑思考问题了,1
精辟,2,精辟,0.5
，不快乐了就谈个恋爱，就知道单身有多快乐了,0,不快乐了就谈个恋爱就知道单身有多快乐了,0
